,,,R1,R2,R3,R4,R5,R6,R7,R8,Wins,Spk
48,🎼UI 1,ESL,"vs ⛳
265.00","vs 💿
265.83","vs 🥅
268.00","vs 👏
267.50","vs 🎠
265.50","vs 🐿
262.00","vs 👓
267.50","vs 👶
267.33",4,2128.67
49,🚁WSDU 2,,"vs 🎆
264.50","vs 🏁
262.50","vs 🎲
264.00","vs 🍝
269.00","vs 🌲
265.17","vs ⛸
269.50","vs 🥕
262.00","vs 💿
269.50",4,2126.17
50,🎆IIUM 5,ESL,"vs 🚁
266.00","vs 🌲
264.50","vs 🐶
267.00","vs 🚠
268.00","vs 🍍
262.75","vs 🍠
265.00","vs 💍
267.50","vs 🐤
264.83",4,2125.58
51,🎠Melbourne 4,,"vs 🤒
264.00","vs 👾
269.50","vs 🍒
259.00","vs 🤝
266.00","vs 🎼
266.50","vs 🖤
269.50","vs 🔌
268.50","vs 🎃
261.00",4,2124
52=,🚰UNSW 3,,"vs 🤸
261.50","vs 👖
267.00","vs 🎄
259.00","vs 🏳
269.67","vs 🎲
268.50","vs 🤝
268.50","vs 🎺
264.50","vs 👅
264.50",4,2123.17
52=,📅SUNWAY 1,ESL,"vs 🤠
262.00","vs 👔
267.17","vs 🍓
262.50","vs 👾
271.00","vs 🚃
265.50","vs 🐢
264.00","vs ⛳
263.50","vs 💭
267.50",4,2123.17
54,💫BAC 1,ESL,"vs ⬜
263.50","vs 📦
264.00","vs 💅
266.83","vs 🍍
265.25","vs 🥋
265.50","vs 🐶
265.67","vs 🖤
269.00","vs 🎾
263.00",4,2122.75
55,👖VUW 2,,"vs 💰
266.00","vs 🚰
265.00","vs 🥋
265.25","vs 👓
266.00","vs 🤘
261.50","vs 🎾
264.00","vs 🥅
267.75","vs 🚃
265.50",4,2121
56,🙃UWA 3,,"vs 📦
265.00","vs 👻
263.00","vs 🐻
263.00","vs 🥃
264.25","vs 😖
265.50","vs 🍎
268.50","vs 🤝
265.50","vs 🛥
265.00",4,2119.75
57,💦Taylor's 3,ESL,"vs 🐢
261.00","vs 👅
265.50","vs ⛳
265.00","vs 👔
266.50","vs 🥅
266.75","vs 👾
266.00","vs 🤓
268.25","vs 🤝
260.00",4,2119
58,🥋ANU 3,,"vs 🍓
264.50","vs 🐶
258.50","vs 👖
262.50","vs 💀
262.00","vs 💫
261.33","vs 📦
263.25","vs ⬛
268.00","vs 💌
266.33",4,2106.42
59,🚃UoA 2,,"vs 🔥
265.50","vs ⏳
264.00","vs 🍝
272.00","vs 🐻
275.50","vs 📅
263.50","vs 🏳
263.00","vs 👂
270.50","vs 👖
262.50",3,2136.5
60,🛥QUT 1,,"vs 💅
269.50","vs 🤖
267.50","vs 💌
264.50","vs 🎓
265.50","vs ⛈
267.67","vs 💰
270.00","vs 🐿
267.50","vs 🙃
262.25",3,2134.42
